id,neighbourhood_cleansed,lat,lon,property_type,room_type,price,accommodates,bathrooms,amenities,review_scores_rating,review_scores_location,instant_bookable,calculated_host_listings_count,lake_access,num_amenities,dist_ta,dist_pb,num_ta,num_stops
656316,Commune de Genève,46.21491,6.13448,Entire apartment,Entire home/apt,100.0,3,1.0,"[""Cable TV"", ""Dishes and silverware"", ""Washer"", ""Iron"", ""Shampoo"", ""Lake access"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Dedicated workspace"", ""Dishwasher"", ""Elevator"", ""TV with standard cable"", ""Patio or balcony"", ""Heating"", ""Dryer"", ""Host greets you"", ""Free street parking"", ""Coffee maker"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen""]",4.8,4.7,0,1,1,26,1110.4943727832508,355.01125643655365,0,0
664917,Commune de Genève,46.20496,6.12801,Entire apartment,Entire home/apt,120.0,2,1.0,"[""Dishes and silverware"", ""Luggage dropoff allowed"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Hot water"", ""Dedicated workspace"", ""Elevator"", ""Stove"", ""Patio or balcony"", ""Heating"", ""Dryer"", ""Host greets you"", ""Free street parking"", ""Coffee maker"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen""]",4.86,4.76,1,2,0,28,516.9880138158993,485.9474384343555,1,0
693976,Commune de Genève,46.21671,6.13847,Entire apartment,Entire home/apt,120.0,1,1.0,"[""Mosquito net"", ""Extra pillows and blankets"", ""Cable TV"", ""Portable fans"", ""Dishes and silverware"", ""Smoke alarm"", ""Dining table"", ""Shower gel"", ""Toaster"", ""Hot water kettle"", ""Iron"", ""Shampoo"", ""Central heating"", ""Wifi"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Outdoor furniture"", ""Essentials"", ""Wine glasses"", ""Bathtub"", ""Air conditioning"", ""Hot water"", ""Single level home"", ""Dedicated workspace"", ""Room-darkening shades"", ""Elevator"", ""Clothing storage: walk-in closet"", ""Cleaning products"", ""Patio or balcony"", ""Bed linens"", ""Host greets you"", ""Free street parking"", ""Coffee maker"", ""Microwave"", ""Nespresso machine"", ""Hangers"", ""Refrigerator"", ""Bosch electric stove"", ""Different kind to choose from / high quality products only body soap"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""HDTV with standard cable""]",4.9,4.78,0,1,0,43,838.0295679299326,576.7309867813377,0,0
706264,Commune de Genève,46.21302,6.1512,Entire apartment,Entire home/apt,110.0,4,1.0,"[""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Dishwasher"", ""Cooking basics"", ""Refrigerator"", ""Lake access"", ""Dishes and silverware"", ""Essentials"", ""Stove"", ""Elevator"", ""Pack \u2019n Play/travel crib"", ""Heating"", ""Hot water"", ""Long term stays allowed"", ""Iron"", ""Kitchen""]",4.8,4.82,0,1,1,19,812.7424929160123,556.1636444926728,0,0
721025,Commune de Genève,46.19888,6.15626,Entire apartment,Entire home/apt,199.0,3,1.0,"[""Ethernet connection"", ""Extra pillows and blankets"", ""Cable TV"", ""Baby bath"", ""Dishes and silverware"", ""Washer"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Changing table"", ""Iron"", ""Shampoo"", ""Lake access"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Bathtub"", ""Pocket wifi"", ""Hot water"", ""Lockbox"", ""Dedicated workspace"", ""Dishwasher"", ""Fire extinguisher"", ""Room-darkening shades"", ""Elevator"", ""TV with standard cable"", ""Stove"", ""Heating"", ""Dryer"", ""Bed linens"", ""Free street parking"", ""Coffee maker"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Pack \u2019n Play/travel crib"", ""Oven"", ""Cooking basics"", ""Kitchen""]",4.82,4.78,0,1,1,39,262.576115263472,242.9073154817247,1,2
754676,Commune de Genève,46.20106,6.14235,Private room in apartment,Private room,95.0,1,1.0,"[""Wifi"", ""Indoor fireplace"", ""Hair dryer"", ""Hangers"", ""Elevator"", ""Cable TV"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Essentials"", ""Washer"", ""TV with standard cable"", ""Heating"", ""Dryer"", ""Hot water"", ""Iron"", ""Shampoo"", ""Kitchen""]",4.67,4.83,0,1,0,17,452.175743842162,141.04972354910126,6,4
765191,Commune de Genève,46.20625,6.16064,Entire apartment,Entire home/apt,125.0,4,1.0,"[""Paid parking on premises"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Hangers"", ""Elevator"", ""Long term stays allowed"", ""Paid parking off premises"", ""Essentials"", ""Washer"", ""Beachfront"", ""Heating"", ""Iron"", ""Shampoo"", ""Kitchen""]",4.58,4.76,0,1,0,15,542.8638421751846,663.7542685387251,1,0
766186,Commune de Genève,46.20089,6.13124,Entire loft,Entire home/apt,129.0,4,1.0,"[""Extra pillows and blankets"", ""Cable TV"", ""Portable fans"", ""Dishes and silverware"", ""Clothing storage"", ""Washer"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Dining table"", ""Keypad"", ""Toaster"", ""Hot water kettle"", ""Iron"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Baking sheet"", ""Essentials"", ""Wine glasses"", ""Bathtub"", ""Air conditioning"", ""Hot water"", ""Single level home"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Room-darkening shades"", ""Elevator"", ""TV with standard cable"", ""Stove"", ""Heating"", ""Bed linens"", ""Free street parking"", ""Coffee maker"", ""Freezer"", ""Microwave"", ""Nespresso machine"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Sound system"", ""Oven"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen""]",4.92,4.74,0,1,0,45,313.3363921274108,156.62316827540235,2,2
817501,Commune de Genève,46.20282,6.13869,Private room in apartment,Private room,76.0,2,1.5,"[""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Lake access"", ""Essentials"", ""Washer"", ""Heating"", ""Kitchen""]",4.45,4.81,0,1,1,8,431.911568567533,169.05496490465933,4,4
827637,Lancy,46.17446,6.1254,Entire apartment,Entire home/apt,81.0,5,1.0,"[""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Essentials"", ""Washer"", ""TV"", ""Heating"", ""Dryer"", ""Iron"", ""Kitchen""]",4.615576671035387,4.782021276595745,0,3,0,10,1199.246000538657,261.23597049626983,0,2
